datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-01-18 18-54-15,0.0,0.0,0.0,com.yangcong345.android.phone,3883,0.0,0.0,0.0
2024-01-18 18-54-20,4299.11,512.36,3786.75,com.yangcong345.android.phone,3883,442.67,3736.9,4179.58
2024-01-18 18-54-25,10617.17,2979.35,7637.82,com.yangcong345.android.phone,3883,2900.19,7608.61,10508.8
2024-01-18 18-54-30,14754.09,3227.56,11526.52,com.yangcong345.android.phone,3883,3149.11,11480.25,14629.36
2024-01-18 18-54-35,18705.63,3447.73,15257.91,com.yangcong345.android.phone,3883,3368.28,15203.31,18571.59
2024-01-18 18-54-40,22867.88,3680.24,19187.64,com.yangcong345.android.phone,3883,3622.48,19144.81,22767.29
2024-01-18 18-54-45,25899.54,3877.71,22021.83,com.yangcong345.android.phone,3883,3799.68,22012.4,25812.09
2024-01-18 18-54-50,29717.97,4088.6,25629.37,com.yangcong345.android.phone,3883,4010.02,25613.14,29623.16
2024-01-18 18-54-55,33620.86,4309.0,29311.87,com.yangcong345.android.phone,3883,4231.35,29289.76,33521.11
2024-01-18 18-55-00,37438.26,4518.21,32920.05,com.yangcong345.android.phone,3883,4439.23,32862.47,37301.71
2024-01-18 18-55-05,41305.81,4737.48,36568.33,com.yangcong345.android.phone,3883,4660.36,36526.01,41186.37
2024-01-18 18-55-10,45406.16,4959.78,40446.39,com.yangcong345.android.phone,3883,4880.24,40416.33,45296.57
2024-01-18 18-55-15,49442.86,5217.93,44224.92,com.yangcong345.android.phone,3883,5139.53,44163.61,49303.14
2024-01-18 18-55-20,53542.43,5450.25,48092.18,com.yangcong345.android.phone,3883,5372.06,48033.56,53405.62
2024-01-18 18-55-25,57505.22,5698.05,51807.16,com.yangcong345.android.phone,3883,5624.54,51821.82,57446.35
2024-01-18 18-55-30,61591.49,5955.72,55635.77,com.yangcong345.android.phone,3883,5879.25,55578.99,61458.24
2024-01-18 18-55-35,65617.84,6215.07,59402.76,com.yangcong345.android.phone,3883,6136.6,59355.75,65492.35
2024-01-18 18-55-40,69675.69,6444.84,63230.84,com.yangcong345.android.phone,3883,6366.78,63219.49,69586.27
2024-01-18 18-55-45,73761.91,6660.3,67101.61,com.yangcong345.android.phone,3883,6581.72,67017.31,73599.03
2024-01-18 18-55-50,77799.22,6893.58,70905.64,com.yangcong345.android.phone,3883,6816.07,70900.64,77716.71
2024-01-18 18-55-55,81761.38,7109.67,74651.71,com.yangcong345.android.phone,3883,7032.19,74587.24,81619.43
2024-01-18 18-56-00,85737.19,7359.51,78377.68,com.yangcong345.android.phone,3883,7279.29,78266.0,85545.29
2024-01-18 18-56-05,89498.24,7556.68,81941.56,com.yangcong345.android.phone,3883,7479.0,81885.82,89364.81
2024-01-18 18-56-10,93422.78,7794.11,85628.68,com.yangcong345.android.phone,3883,7714.94,85598.87,93313.81
2024-01-18 18-56-15,97151.21,7981.45,89169.76,com.yangcong345.android.phone,3883,7902.81,89081.33,96984.13
2024-01-18 18-56-20,100082.09,8122.8,91959.29,com.yangcong345.android.phone,3883,8043.84,91941.76,99985.59
2024-01-18 18-56-25,102858.53,8259.4,94599.13,com.yangcong345.android.phone,3883,8181.18,94531.94,102713.13
2024-01-18 18-56-30,106609.1,8455.33,98153.77,com.yangcong345.android.phone,3883,8377.95,98150.15,106528.1
2024-01-18 18-56-35,110463.7,8655.81,101807.89,com.yangcong345.android.phone,3883,8577.57,101728.96,110306.53
2024-01-18 18-56-40,113733.12,8833.95,104899.17,com.yangcong345.android.phone,3883,8774.27,104855.33,113629.6
2024-01-18 18-56-45,117575.96,9052.93,108523.03,com.yangcong345.android.phone,3883,8973.28,108465.49,117438.77
2024-01-18 18-56-50,121357.6,9254.52,112103.08,com.yangcong345.android.phone,3883,9175.03,112001.48,121176.51
2024-01-18 18-56-55,124859.49,9434.48,115425.01,com.yangcong345.android.phone,3883,9355.43,115408.86,124764.29
2024-01-18 18-57-00,128769.04,9631.17,119137.88,com.yangcong345.android.phone,3883,9553.81,119167.53,128721.33
2024-01-18 18-57-05,132736.04,9832.52,122903.52,com.yangcong345.android.phone,3883,9753.46,122855.02,132608.48
2024-01-18 18-57-10,137118.67,10263.94,126854.73,com.yangcong345.android.phone,3883,10185.98,126796.72,136982.7
2024-01-18 18-57-15,141161.54,10471.25,130690.29,com.yangcong345.android.phone,3883,10391.92,130630.32,141022.24
2024-01-18 18-57-20,145171.95,10705.88,134466.07,com.yangcong345.android.phone,3883,10628.06,134416.82,145044.88
2024-01-18 18-57-25,149182.42,10916.26,138266.16,com.yangcong345.android.phone,3883,10841.37,138256.59,149097.97
2024-01-18 18-57-30,153077.81,11133.16,141944.65,com.yangcong345.android.phone,3883,11054.87,141927.46,152982.33
2024-01-18 18-57-35,159309.17,13512.95,145796.22,com.yangcong345.android.phone,3883,13435.2,145741.79,159176.99
2024-01-18 18-57-40,163298.39,13760.03,149538.36,com.yangcong345.android.phone,3883,13682.53,149531.67,163214.2
2024-01-18 18-57-45,167365.73,13971.55,153394.18,com.yangcong345.android.phone,3883,13892.1,153339.34,167231.44
2024-01-18 18-57-50,171494.38,14180.13,157314.25,com.yangcong345.android.phone,3883,14115.56,157377.61,171493.17
2024-01-18 18-57-55,175333.68,14422.01,160911.66,com.yangcong345.android.phone,3883,14344.23,160860.53,175204.76
2024-01-18 18-58-00,179411.94,14632.33,164779.61,com.yangcong345.android.phone,3883,14554.25,164721.1,179275.35
2024-01-18 18-58-05,183327.91,14845.26,168482.65,com.yangcong345.android.phone,3883,14767.53,168427.54,183195.08
2024-01-18 18-58-10,187300.97,15169.18,172131.79,com.yangcong345.android.phone,3883,15091.27,172110.16,187201.43
2024-01-18 18-58-15,191271.76,15431.85,175839.91,com.yangcong345.android.phone,3883,15353.49,175789.75,191143.25
2024-01-18 18-58-20,197423.22,17750.27,179672.95,com.yangcong345.android.phone,3883,17672.69,179629.64,197302.33
2024-01-18 18-58-25,201510.42,17969.01,183541.41,com.yangcong345.android.phone,3883,17889.4,183463.42,201352.82
2024-01-18 18-58-30,205655.97,18185.55,187470.43,com.yangcong345.android.phone,3883,18108.64,187442.36,205551.0
2024-01-18 18-58-35,209747.15,18420.17,191326.98,com.yangcong345.android.phone,3883,18340.59,191222.58,209563.18
2024-01-18 18-58-40,213396.45,18611.05,194785.41,com.yangcong345.android.phone,3883,18531.73,194719.5,213251.24
2024-01-18 18-58-45,216930.23,18789.1,198141.13,com.yangcong345.android.phone,3883,18710.11,198067.49,216777.6
2024-01-18 18-58-50,220969.66,18995.58,201974.08,com.yangcong345.android.phone,3883,18917.5,201924.02,220841.52
2024-01-18 18-58-55,224848.21,19223.44,205624.77,com.yangcong345.android.phone,3883,19144.44,205548.43,224692.87
2024-01-18 18-59-00,228786.5,19428.17,209358.32,com.yangcong345.android.phone,3883,19350.37,209290.86,228641.23
2024-01-18 18-59-05,232730.93,19637.86,213093.07,com.yangcong345.android.phone,3883,19557.49,213000.14,232557.63
2024-01-18 18-59-10,236543.42,19831.43,216711.99,com.yangcong345.android.phone,3883,19752.21,216627.99,236380.19
2024-01-18 18-59-15,240353.07,20030.95,220322.12,com.yangcong345.android.phone,3883,19957.23,220335.82,240293.06
2024-01-18 18-59-20,244323.56,20231.57,224091.98,com.yangcong345.android.phone,3883,20153.32,224076.82,244230.14
2024-01-18 18-59-25,248307.84,20449.3,227858.54,com.yangcong345.android.phone,3883,20370.64,227798.71,248169.35
2024-01-18 18-59-30,252156.5,20647.31,231509.18,com.yangcong345.android.phone,3883,20567.65,231408.71,251976.36
2024-01-18 18-59-35,255766.34,20836.69,234929.65,com.yangcong345.android.phone,3883,20756.61,234870.98,255627.59
2024-01-18 18-59-40,259756.74,21042.13,238714.61,com.yangcong345.android.phone,3883,20963.56,238616.23,259579.79
2024-01-18 18-59-45,263759.19,21252.34,242506.85,com.yangcong345.android.phone,3883,21172.87,242437.15,263610.02
2024-01-18 18-59-50,267818.64,21498.81,246319.83,com.yangcong345.android.phone,3883,21420.86,246295.34,267716.2
2024-01-18 18-59-55,271849.7,21707.1,250142.6,com.yangcong345.android.phone,3883,21628.05,250079.86,271707.91
2024-01-18 19-00-00,275706.98,21941.22,253765.76,com.yangcong345.android.phone,3883,21862.72,253649.15,275511.86
2024-01-18 19-00-05,279706.65,22156.78,257549.87,com.yangcong345.android.phone,3883,22078.19,257486.25,279564.44
2024-01-18 19-00-10,283568.36,22373.19,261195.17,com.yangcong345.android.phone,3883,22295.62,261180.12,283475.73
2024-01-18 19-00-15,287349.21,22618.53,264730.68,com.yangcong345.android.phone,3883,22541.53,264705.45,287246.98
2024-01-18 19-00-20,291138.58,22937.32,268201.27,com.yangcong345.android.phone,3883,22857.27,268123.67,290980.94
2024-01-18 19-00-25,295164.99,23329.32,271835.67,com.yangcong345.android.phone,3883,23252.48,271768.34,295020.82
2024-01-18 19-00-30,301138.3,25570.39,275567.91,com.yangcong345.android.phone,3883,25491.99,275545.58,301037.56
2024-01-18 19-00-35,307267.57,28311.09,278956.48,com.yangcong345.android.phone,3883,28232.62,278873.62,307106.24
2024-01-18 19-00-40,310622.4,28473.81,282148.59,com.yangcong345.android.phone,3883,28394.96,282120.79,310515.75
2024-01-18 19-00-45,314877.89,29087.1,285790.79,com.yangcong345.android.phone,3883,29008.44,285696.37,314704.81
2024-01-18 19-00-50,318526.31,29263.29,289263.02,com.yangcong345.android.phone,3883,29184.11,289202.32,318386.42
2024-01-18 19-00-55,322121.75,29879.71,292242.05,com.yangcong345.android.phone,3883,29800.4,292156.59,321956.98
2024-01-18 19-01-00,325670.44,30041.04,295629.39,com.yangcong345.android.phone,3883,29962.0,295587.35,325549.35
